component1,component2,compatibility_level,compatibility_reason,relation_date
Component 11,Component 46,4,Same Brand,2023-03-19
Component 74,Component 64,10,Recommended by Users,2022-02-27
Component 17,Component 2,4,Compatible Chipset,2015-07-21
Component 52,Component 38,10,Same Brand,2024-11-13
Component 15,Component 73,6,Recommended by Users,2021-07-01
Component 5,Component 31,5,Recommended by Users,2015-08-24
Component 41,Component 49,9,Recommended by Users,2024-05-20
Component 10,Component 41,9,Same Brand,2016-07-09
Component 64,Component 60,5,Compatible Chipset,2018-10-10
Component 41,Component 28,7,Compatible Chipset,2020-07-09
Component 84,Component 9,7,Compatible Chipset,2022-02-15
Component 71,Component 54,7,Compatible Chipset,2018-06-22
Component 77,Component 62,7,Compatible Chipset,2022-11-19
Component 10,Component 1,9,Same Brand,2016-03-12
Component 23,Component 57,5,Recommended by Users,2020-06-24
Component 33,Component 79,9,Recommended by Users,2016-05-15
Component 23,Component 49,3,Compatible Chipset,2022-05-01
Component 22,Component 5,9,Same Brand,2019-01-24
Component 75,Component 32,7,Compatible Chipset,2020-01-18
Component 95,Component 5,8,Compatible Chipset,2017-08-13
Component 38,Component 20,6,Recommended by Users,2019-03-17
Component 69,Component 99,4,Recommended by Users,2016-04-25
Component 100,Component 84,4,Same Brand,2022-10-01
Component 96,Component 97,4,Compatible Chipset,2021-02-18
Component 19,Component 85,4,Same Brand,2019-07-19
Component 97,Component 43,7,Same Brand,2024-09-25
Component 38,Component 76,5,Same Brand,2024-12-09
Component 96,Component 21,4,Compatible Chipset,2019-01-30
Component 25,Component 35,1,Recommended by Users,2021-03-21
Component 37,Component 10,6,Compatible Chipset,2020-08-29
Component 74,Component 34,9,Recommended by Users,2019-03-12
Component 22,Component 7,9,Recommended by Users,2020-06-12
Component 100,Component 53,9,Same Brand,2022-05-31
Component 32,Component 46,10,Recommended by Users,2021-04-23
Component 52,Component 19,9,Same Brand,2015-04-05
Component 36,Component 22,5,Recommended by Users,2018-06-28
Component 87,Component 51,1,Same Brand,2023-12-23
Component 48,Component 49,4,Compatible Chipset,2022-08-28
Component 93,Component 65,5,Recommended by Users,2016-10-14
Component 93,Component 62,10,Same Brand,2024-12-20
Component 89,Component 31,3,Compatible Chipset,2019-03-17
Component 67,Component 37,10,Same Brand,2016-03-06
Component 94,Component 95,4,Compatible Chipset,2023-11-16
Component 28,Component 10,1,Compatible Chipset,2021-04-17
Component 60,Component 74,3,Compatible Chipset,2019-12-23
Component 24,Component 44,6,Recommended by Users,2015-01-27
Component 2,Component 56,6,Compatible Chipset,2024-09-05
Component 58,Component 59,2,Same Brand,2022-01-11
Component 21,Component 22,7,Same Brand,2018-01-24
Component 97,Component 12,5,Recommended by Users,2019-04-18
Component 71,Component 72,10,Same Brand,2015-07-14
Component 6,Component 79,2,Same Brand,2017-06-24
Component 39,Component 9,1,Recommended by Users,2021-09-28
Component 3,Component 24,8,Same Brand,2022-04-27
Component 30,Component 49,5,Same Brand,2021-07-26
Component 33,Component 90,10,Compatible Chipset,2020-04-18
Component 23,Component 51,4,Same Brand,2020-08-10
Component 33,Component 77,5,Compatible Chipset,2023-06-22
Component 72,Component 15,10,Recommended by Users,2017-10-28
Component 4,Component 48,7,Same Brand,2018-05-29
Component 68,Component 60,1,Compatible Chipset,2015-05-06
Component 19,Component 43,10,Recommended by Users,2023-05-21
Component 93,Component 52,3,Compatible Chipset,2020-10-02
Component 83,Component 81,5,Recommended by Users,2024-02-26
Component 27,Component 92,9,Recommended by Users,2020-02-06
Component 94,Component 27,4,Recommended by Users,2017-06-17
Component 89,Component 52,10,Recommended by Users,2017-03-16
Component 62,Component 26,5,Recommended by Users,2017-04-14
Component 35,Component 19,7,Compatible Chipset,2016-05-22
Component 85,Component 27,3,Same Brand,2015-07-31
Component 38,Component 7,5,Compatible Chipset,2024-08-08
Component 70,Component 94,2,Recommended by Users,2021-07-16
Component 87,Component 8,8,Recommended by Users,2024-12-31
Component 89,Component 84,7,Compatible Chipset,2021-11-20
Component 18,Component 98,10,Compatible Chipset,2023-12-23
Component 10,Component 51,4,Compatible Chipset,2023-05-28
Component 45,Component 37,2,Compatible Chipset,2023-04-11
Component 78,Component 53,8,Same Brand,2021-10-17
Component 34,Component 7,3,Compatible Chipset,2024-01-16
Component 6,Component 11,7,Compatible Chipset,2020-05-17
Component 25,Component 5,1,Compatible Chipset,2019-08-13
Component 18,Component 21,2,Compatible Chipset,2015-02-17
Component 60,Component 62,1,Same Brand,2023-06-16
Component 75,Component 18,2,Recommended by Users,2017-10-14
Component 48,Component 58,1,Compatible Chipset,2018-03-13
Component 92,Component 28,7,Compatible Chipset,2022-05-12
Component 24,Component 36,9,Recommended by Users,2016-04-01
Component 40,Component 98,1,Same Brand,2015-03-31
Component 14,Component 60,3,Compatible Chipset,2015-02-08
Component 53,Component 32,9,Same Brand,2016-06-27
Component 5,Component 50,7,Recommended by Users,2023-12-02
Component 68,Component 47,6,Same Brand,2024-08-29
Component 81,Component 80,3,Same Brand,2023-11-05
Component 66,Component 41,3,Recommended by Users,2019-09-14
Component 43,Component 60,8,Compatible Chipset,2015-12-01
Component 45,Component 88,4,Same Brand,2020-11-28
Component 71,Component 60,4,Recommended by Users,2016-03-30
Component 99,Component 77,1,Recommended by Users,2016-03-14
Component 88,Component 58,1,Recommended by Users,2023-09-12
Component 92,Component 90,6,Recommended by Users,2015-03-26
